onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
510.07373046875	0.0002	electrical_stimulation	n/a	n/a	1044631	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
594.72705078125	0.0002	electrical_stimulation	n/a	n/a	1218001	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
601.4365234375	0.0002	electrical_stimulation	n/a	n/a	1231742	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
606.86376953125	0.0002	electrical_stimulation	n/a	n/a	1242857	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
612.99462890625	0.0002	electrical_stimulation	n/a	n/a	1255413	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
618.35400390625	0.0002	electrical_stimulation	n/a	n/a	1266389	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
624.25537109375	0.0002	electrical_stimulation	n/a	n/a	1278475	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
629.95849609375	0.0002	electrical_stimulation	n/a	n/a	1290155	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
635.41162109375	0.0002	electrical_stimulation	n/a	n/a	1301323	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
639.88427734375	0.0002	electrical_stimulation	n/a	n/a	1310483	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
645.5517578125	0.0002	electrical_stimulation	n/a	n/a	1322090	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
650.70263671875	0.0002	electrical_stimulation	n/a	n/a	1332639	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
657.0576171875	0.0002	electrical_stimulation	n/a	n/a	1345654	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
662.19775390625	0.0002	electrical_stimulation	n/a	n/a	1356181	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
667.41650390625	0.0002	electrical_stimulation	n/a	n/a	1366869	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
673.18212890625	0.0002	electrical_stimulation	n/a	n/a	1378677	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
678.3330078125	0.0002	electrical_stimulation	n/a	n/a	1389226	n/a	biphasic	LTG1-LTG2	13-14	6.0 mA	n/a	good	n/a
