name	x	y	z	size	hemisphere	Destrieux_label	Destrieux_label_text
LAS1	-29.4634146341463	-7.90243902439025	-50.2439024390244	n/a	L	11144	lh_Pole_temporal
LAS2	-38.96875	-12.625	-49	n/a	L	11144	lh_Pole_temporal
LAS3	-48.5581395348837	-15.5116279069767	-43.8372093023256	n/a	L	11144	lh_Pole_temporal
LAS4	-57	-16.9090909090909	-37.3636363636364	n/a	L	11137	lh_G_temporal_inf
LMS1	-18.0294117647059	-24.8529411764706	-26.3235294117647	n/a	L	11123	lh_G_oc-temp_med-Parahip
LMS2	-26.258064516129	-28.9032258064516	-30.0322580645161	n/a	L	11123	lh_G_oc-temp_med-Parahip
LMS3	-36	-31	-30.5714285714286	n/a	L	11162	lh_S_oc-temp_med&Lingual
LMS4	-47	-30.969696969697	-30.3333333333333	n/a	L	11137	lh_G_temporal_inf
LPS1	-11.425	-49.45	-10.05	n/a	L	11122	lh_G_oc-temp_med-Lingual
LPS2	-19	-47.9090909090909	-18.3636363636364	n/a	L	11121	lh_G_oc-temp_lat-fusifor
LPS3	-28.0322580645161	-45.9677419354839	-23.2258064516129	n/a	L	11121	lh_G_oc-temp_lat-fusifor
LPS4	-37	-43.0645161290323	-28.1935483870968	n/a	L	11121	lh_G_oc-temp_lat-fusifor
LTG1	-46	-55.0909090909091	-25.6363636363636	n/a	L	11121	lh_G_oc-temp_lat-fusifor
LTG2	-57	-49.75	-27.5833333333333	n/a	L	11137	lh_G_temporal_inf
LTG3	-66	-41.6451612903226	-21.9354838709677	n/a	L	11137	lh_G_temporal_inf
LTG4	-70	-32.9090909090909	-15.3636363636364	n/a	L	11138	lh_G_temporal_middle
LTG5	-71.6486486486486	-23.5135135135135	-9.02702702702702	n/a	L	11138	lh_G_temporal_middle
LTG6	-69.9642857142857	-13.9642857142857	-4.07142857142857	n/a	L	11138	lh_G_temporal_middle
LTG7	-68.0357142857143	-4.03571428571429	2.07142857142857	n/a	L	11134	lh_G_temp_sup-Lateral
LTG8	-65	5.2	6.09999999999999	n/a	L	11134	lh_G_temp_sup-Lateral
LTG9	-54.078947368421	-63.7631578947368	-22.5789473684211	n/a	L	11161	lh_S_oc-temp_lat
LTG10	-61.9642857142857	-56.9642857142857	-19.0714285714286	n/a	L	11137	lh_G_temporal_inf
LTG11	-67.9142857142857	-47.3428571428571	-11.5428571428571	n/a	L	11137	lh_G_temporal_inf
LTG12	-70.9677419354839	-37.8387096774194	-5.16129032258065	n/a	L	11138	lh_G_temporal_middle
LTG13	-71.03125	-28.125	-0.1875	n/a	L	11138	lh_G_temporal_middle
LTG14	-69.4166666666667	-17	8.08333333333333	n/a	L	11134	lh_G_temp_sup-Lateral
LTG15	-67.5121951219512	-7.90243902439025	12.1707317073171	n/a	L	11104	lh_G&S_subcentral
LTG16	-64.5	4.09090909090909	16.6363636363636	n/a	L	11104	lh_G&S_subcentral
LTG17	-55.027027027027	-71.2972972972973	-10.7567567567568	n/a	L	11102	lh_G&S_occipital_inf
LTG18	-62	-62.1351351351351	-6.48648648648648	n/a	L	11137	lh_G_temporal_inf
LTG19	-67	-53	0	n/a	L	11137	lh_G_temporal_inf
LTG20	-71	-42.5	5	n/a	L	11138	lh_G_temporal_middle
LTG21	-72.03125	-33.09375	11.3125	n/a	L	11134	lh_G_temp_sup-Lateral
LTG22	-69	-23.2727272727273	16.0909090909091	n/a	L	11134	lh_G_temp_sup-Lateral
LTG23	-68	-13.9411764705882	21.3529411764706	n/a	L	11104	lh_G&S_subcentral
LTG24	-67.35	-4.02500000000001	26.275	n/a	L	11104	lh_G&S_subcentral
LTG25	-54	-74	-2	n/a	L	11119	lh_G_occipital_middle
LTG26	-58.0285714285714	-66.8	3.71428571428571	n/a	L	11138	lh_G_temporal_middle
LTG27	-64.9677419354839	-57.4516129032258	9.96774193548387	n/a	L	11138	lh_G_temporal_middle
LTG28	-68.1515151515152	-48.030303030303	15.2121212121212	n/a	L	11138	lh_G_temporal_middle
LTG29	-70.0285714285714	-37.5142857142857	21.2857142857143	n/a	L	11134	lh_G_temp_sup-Lateral
LTG30	-70	-26.5	28.5	n/a	L	11126	lh_G_pariet_inf-Supramar
LTG31	-69.0294117647059	-18.3235294117647	31.5	n/a	L	11126	lh_G_pariet_inf-Supramar
LTG32	-66	-8.51428571428572	37.8	n/a	L	11128	lh_G_postcentral
LTG33	-50.9705882352941	-79.7647058823529	8.26470588235294	n/a	L	11119	lh_G_occipital_middle
LTG34	-55	-69.9090909090909	14.6363636363636	n/a	L	11138	lh_G_temporal_middle
LTG35	-58.9655172413793	-61.9310344827586	18.8620689655172	n/a	L	11138	lh_G_temporal_middle
LTG36	-64.9705882352941	-54.6764705882353	25.9117647058823	n/a	L	11125	lh_G_pariet_inf-Angular
LTG37	-68	-42.9090909090909	31.6363636363636	n/a	L	11126	lh_G_pariet_inf-Supramar
LTG38	-68.5	-32.195652173913	37.695652173913	n/a	L	11126	lh_G_pariet_inf-Supramar
LTG39	-66.55	-22.35	44.95	n/a	L	11126	lh_G_pariet_inf-Supramar
LTG40	-62.4651162790698	-12.9069767441861	47.6744186046512	n/a	L	11128	lh_G_postcentral
LTG41	-47	-83.1	18.2	n/a	L	11119	lh_G_occipital_middle
LTG42	-51	-74.9090909090909	23.6363636363636	n/a	L	11119	lh_G_occipital_middle
LTG43	-56	-66.6451612903226	29.0645161290323	n/a	L	11125	lh_G_pariet_inf-Angular
LTG44	-61	-57.9090909090909	35.6363636363636	n/a	L	11125	lh_G_pariet_inf-Angular
LTG45	-64.9677419354839	-48.741935483871	42.0967741935484	n/a	L	11126	lh_G_pariet_inf-Supramar
LTG46	-65	-36.8	49.1	n/a	L	11126	lh_G_pariet_inf-Supramar
LTG47	-62.96875	-27.0625	52.75	n/a	L	11126	lh_G_pariet_inf-Supramar
