name	x	y	z	size	hemisphere	Destrieux_label	Destrieux_label_text
LTG48	-57.9714285714286	-17.9714285714286	55.5428571428571	n/a	L	11128	lh_G_postcentral
LAG49	-31.0357142857143	6.92857142857143	-45.0357142857143	n/a	L	11144	lh_Pole_temporal
LAG50	-42.0294117647059	7.41176470588235	-43.7941176470588	n/a	L	11144	lh_Pole_temporal
LAG51	-52.5121951219512	7.6829268292683	-40.0731707317073	n/a	L	11144	lh_Pole_temporal
LAG52	-59.0322580645161	3.45161290322581	-30.9677419354839	n/a	L	11138	lh_G_temporal_middle
LAG53	-63	2.09999999999999	-20.2	n/a	L	11134	lh_G_temp_sup-Lateral
LAG54	-65	-0.909090909090907	-11.3636363636364	n/a	L	11134	lh_G_temp_sup-Lateral
LAG55	n/a	n/a	n/a	n/a	L	n/a	n/a
LAG56	n/a	n/a	n/a	n/a	L	n/a	n/a
LAG57	-29.9444444444444	-0.194444444444443	-49.4166666666667	n/a	L	11144	lh_Pole_temporal
LAG58	-40.421052631579	-3.05263157894737	-49.8684210526316	n/a	L	11144	lh_Pole_temporal
LAG59	-52	-3.09999999999999	-44.8	n/a	L	11144	lh_Pole_temporal
LAG60	-59.5	-7.09090909090909	-34.6363636363636	n/a	L	11138	lh_G_temporal_middle
LAG61	-67	-7.8	-24.9	n/a	L	11138	lh_G_temporal_middle
LAG62	-69	-10.0645161290323	-14.1935483870968	n/a	L	11138	lh_G_temporal_middle
LAG63	n/a	n/a	n/a	n/a	L	n/a	n/a
LAG64	n/a	n/a	n/a	n/a	L	n/a	n/a
LAD1	-44.4594594594595	-28.945945945946	-10.972972972973	n/a	L	2	Left_Cerebral_White_Matter
LAD2	-49.96875	-28.0625	-12.25	n/a	L	2	Left_Cerebral_White_Matter
LAD3	-54.0294117647059	-27.2352941176471	-12.2647058823529	n/a	L	11173	lh_S_temporal_inf
LAD4	-59.875	-27.96875	-13.15625	n/a	L	11173	lh_S_temporal_inf
LSD1	-40.9705882352941	-34.5	-0.852941176470587	n/a	L	11174	lh_S_temporal_sup
LSD2	-47.4761904761905	-33.8571428571429	-0.761904761904759	n/a	L	11174	lh_S_temporal_sup
LSD3	-51.9714285714286	-33.8	0.571428571428569	n/a	L	11174	lh_S_temporal_sup
LSD4	-57	-34.9	0.799999999999997	n/a	L	11174	lh_S_temporal_sup
LPD1	-44	-44.3548387096774	-8.06451612903226	n/a	L	2	Left_Cerebral_White_Matter
LPD2	-49	-45.9411764705882	-7.64705882352941	n/a	L	11161	lh_S_oc-temp_lat
LPD3	-55	-45.75	-6.25	n/a	L	11137	lh_G_temporal_inf
LPD4	-59	-47.1	-4.8	n/a	L	11137	lh_G_temporal_inf
EKG	n/a	n/a	n/a	n/a	n/a	n/a	n/a
